start_offset_ms,ttft_ms,latency_ms,generated_tokens,finish_reason,status,error
0.0,798.0,10892.8,128,length,200,
0.0,807.2,11052.8,128,length,200,
0.0,808.8,11236.0,128,length,200,
0.0,828.5,13164.4,128,length,200,
10892.8,184.1,10936.5,128,length,200,
11052.8,165.3,11132.7,128,length,200,
11236.0,185.9,11160.3,128,length,200,
13164.4,196.2,10983.9,128,length,200,
21829.3,172.3,10288.3,128,length,200,
22185.5,159.2,9685.6,128,length,200,
22396.3,192.6,11836.6,128,length,200,
24148.3,176.8,10009.0,128,length,200,
31871.1,172.7,9834.4,128,length,200,
32117.6,192.2,10752.6,128,length,200,
34157.3,182.4,10518.7,128,length,200,
34232.9,176.6,10092.0,128,length,200,
41705.5,211.2,10502.6,128,length,200,
42870.2,196.4,11880.3,128,length,200,
44324.9,163.0,10241.3,128,length,200,
44676.0,170.0,9756.1,128,length,200,
52208.0,194.3,11379.8,128,length,200,
54432.1,172.7,9607.9,128,length,200,
54566.2,159.9,9400.3,128,length,200,
54750.5,190.2,10226.5,128,length,200,
63587.9,179.9,9747.4,128,length,200,
63966.5,172.5,9481.2,128,length,200,
64040.0,187.1,9808.9,128,length,200,
64976.9,168.0,11331.8,128,length,200,
73335.3,165.4,9759.8,128,length,200,
73447.7,152.1,9224.5,128,length,200,
73849.0,190.8,11346.6,128,length,200,
76308.7,172.4,9639.6,128,length,200,
82672.2,168.4,9341.7,128,length,200,
83095.0,195.1,10524.7,128,length,200,
85195.6,172.8,10031.1,128,length,200,
85948.4,167.8,9695.6,128,length,200,
92013.9,191.3,10033.1,128,length,200,
93619.7,189.2,11588.3,128,length,200,
95226.7,161.5,9666.8,128,length,200,
95644.0,150.4,9311.1,128,length,200,
102047.1,189.1,11408.3,128,length,200,
104893.4,185.3,9629.8,128,length,200,
104955.1,176.6,9429.6,128,length,200,
105208.0,176.9,10376.9,128,length,200,
113455.3,191.5,10494.4,128,length,200,
114384.7,181.9,10272.4,128,length,200,
114523.3,186.3,10630.0,128,length,200,
115584.9,190.0,11662.4,128,length,200,
123949.7,170.9,6583.8,128,length,200,
124657.0,172.4,5979.5,128,length,200,
