start_offset_ms,ttft_ms,latency_ms,generated_tokens,finish_reason,status,error
0.0,877.4,7659.2,128,length,200,
7659.2,195.1,4106.4,128,length,200,
11765.6,47.8,2815.0,128,length,200,
14580.6,53.2,2828.9,128,length,200,
17409.5,65.7,2794.4,128,length,200,
20203.9,49.6,5838.7,128,length,200,
26042.6,198.2,9809.9,128,length,200,
35852.5,203.8,3372.4,128,length,200,
39225.4,45.6,2918.0,128,length,200,
42143.4,51.4,2910.5,128,length,200,
45053.9,55.7,2901.2,128,length,200,
47955.1,57.3,2862.6,128,length,200,
50817.7,51.1,2785.0,128,length,200,
53602.7,54.2,2852.1,128,length,200,
56454.8,54.4,2852.4,128,length,200,
59307.2,55.4,2861.6,128,length,200,
62168.9,48.2,2760.3,128,length,200,
64929.2,50.5,2746.2,128,length,200,
67675.4,49.8,2842.0,128,length,200,
70517.4,50.5,2808.3,128,length,200,
73325.7,72.0,2963.4,128,length,200,
76289.1,42.3,2856.2,128,length,200,
79145.3,47.4,2834.2,128,length,200,
81980.0,53.4,2838.4,128,length,200,
84818.4,49.2,2892.1,128,length,200,
87710.5,51.6,2812.2,128,length,200,
90522.7,47.8,2780.5,128,length,200,
93303.2,51.4,2934.1,128,length,200,
96237.3,50.7,2809.7,128,length,200,
99047.0,48.7,2709.0,128,length,200,
101756.0,49.4,2764.6,128,length,200,
104520.6,55.8,2764.3,128,length,200,
107284.9,48.9,2738.3,128,length,200,
110023.2,50.9,2799.3,128,length,200,
112822.5,61.6,2995.3,128,length,200,
115817.9,54.6,2971.6,128,length,200,
118789.5,51.9,2875.4,128,length,200,
121664.9,53.1,2859.3,128,length,200,
124524.2,50.4,2960.5,128,length,200,
127484.8,51.4,2969.5,128,length,200,
130454.3,50.7,2993.2,128,length,200,
133447.5,54.1,2984.5,128,length,200,
136432.0,49.6,2900.2,128,length,200,
139332.2,54.8,2888.8,128,length,200,
142221.5,47.5,2813.5,128,length,200,
145035.1,52.6,2962.5,128,length,200,
147997.6,51.1,2766.0,128,length,200,
150764.1,48.3,2814.8,128,length,200,
153578.9,47.2,2811.1,128,length,200,
156390.0,54.7,2808.2,128,length,200,
