start_offset_ms,ttft_ms,latency_ms,generated_tokens,finish_reason,status,error
0.0,798.6,6127.7,128,length,200,
0.0,802.6,6267.0,128,length,200,
6127.7,86.0,5241.0,128,length,200,
6267.0,109.2,5903.7,128,length,200,
11369.2,96.8,5266.6,128,length,200,
12170.7,103.7,5579.2,128,length,200,
16635.8,122.1,5571.9,128,length,200,
17750.0,109.8,6187.6,128,length,200,
22207.7,95.1,5336.9,128,length,200,
23937.6,86.4,5092.5,128,length,200,
27544.6,114.9,5895.3,128,length,200,
29030.1,99.8,5533.6,128,length,200,
33439.9,87.7,5195.3,128,length,200,
34563.7,110.1,5805.0,128,length,200,
38635.2,87.0,5027.2,128,length,200,
40368.6,93.6,5347.3,128,length,200,
43662.4,91.3,5281.5,128,length,200,
45716.0,97.9,5840.6,128,length,200,
48944.0,84.3,5085.5,128,length,200,
51556.5,84.7,5000.1,128,length,200,
54029.5,105.8,5891.9,128,length,200,
56556.6,96.5,5434.2,128,length,200,
59921.4,88.0,5058.0,128,length,200,
61990.8,104.7,5631.0,128,length,200,
64979.4,88.4,5087.7,128,length,200,
67621.8,95.5,5439.5,128,length,200,
70067.1,92.9,5207.2,128,length,200,
73061.4,95.6,5886.4,128,length,200,
75274.3,86.2,5101.2,128,length,200,
78947.8,87.0,5047.0,128,length,200,
80375.5,107.6,5900.2,128,length,200,
83995.4,99.5,5432.3,128,length,200,
86275.8,107.3,5002.0,128,length,200,
89428.3,98.5,5591.1,128,length,200,
91277.8,88.7,5115.7,128,length,200,
95019.8,89.6,5524.3,128,length,200,
96394.0,92.6,5253.5,128,length,200,
100544.2,103.8,5548.3,128,length,200,
101647.5,81.1,5100.6,128,length,200,
106092.5,87.9,5086.0,128,length,200,
106748.1,96.1,6003.1,128,length,200,
111178.5,90.2,5445.4,128,length,200,
112751.1,89.1,5066.6,128,length,200,
116624.4,89.6,8054.1,128,length,200,
117817.7,106.6,7962.5,128,length,200,
124679.0,113.3,5713.8,128,length,200,
125780.9,91.6,5459.4,128,length,200,
130392.8,97.8,5083.7,128,length,200,
131240.4,84.9,5022.6,128,length,200,
135476.5,81.9,3108.2,128,length,200,
