start_offset_ms,ttft_ms,latency_ms,generated_tokens,finish_reason,status,error
0.5,218.6,2064.6,128,length,200,
0.5,79.7,1842.1,128,length,200,
0.5,79.7,1842.6,128,length,200,
0.5,79.7,1843.6,128,length,200,
0.5,94.4,1856.5,128,length,200,
0.5,94.4,1856.5,128,length,200,
0.5,94.4,1857.6,128,length,200,
0.5,110.5,1873.6,128,length,200,
0.5,110.5,1873.6,128,length,200,
0.5,110.5,1874.6,128,length,200,
0.5,110.5,1874.6,128,length,200,
0.5,110.5,1874.6,128,length,200,
0.5,120.5,1900.2,128,length,200,
0.5,122.0,1900.7,128,length,200,
0.5,120.5,1901.3,128,length,200,
0.5,120.5,1901.3,128,length,200,
0.5,122.0,1901.3,128,length,200,
0.5,133.0,1926.9,128,length,200,
0.5,389.9,2260.7,128,length,200,
0.5,389.3,2260.1,128,length,200,
0.5,389.3,2259.6,128,length,200,
0.5,388.8,2259.1,128,length,200,
0.5,388.3,2258.0,128,length,200,
0.5,364.8,2232.0,128,length,200,
0.5,364.3,2232.0,128,length,200,
0.5,133.0,1928.0,128,length,200,
0.5,148.2,1954.4,128,length,200,
0.5,364.8,2232.0,128,length,200,
0.5,363.1,2230.9,128,length,200,
0.5,363.1,2230.9,128,length,200,
0.5,335.7,2201.5,128,length,200,
0.5,334.3,2199.9,128,length,200,
0.5,41.1,1783.3,128,length,200,
0.5,310.2,2173.2,128,length,200,
0.5,309.7,2172.4,128,length,200,
0.5,309.7,2172.4,128,length,200,
0.5,166.1,1981.5,128,length,200,
0.5,166.1,1982.0,128,length,200,
0.5,309.2,2172.4,128,length,200,
0.5,290.9,2145.7,128,length,200,
0.5,166.1,1982.4,128,length,200,
0.5,182.0,2010.3,128,length,200,
0.5,289.8,2145.2,128,length,200,
0.5,289.8,2144.6,128,length,200,
0.5,182.5,2012.0,128,length,200,
0.5,183.0,2012.0,128,length,200,
0.5,289.3,2144.6,128,length,200,
0.5,201.2,2037.7,128,length,200,
0.5,289.3,2144.6,128,length,200,
0.5,288.7,2144.1,128,length,200,
0.5,201.2,2038.2,128,length,200,
0.5,266.1,2118.6,128,length,200,
0.5,266.1,2118.6,128,length,200,
0.5,201.2,2038.8,128,length,200,
0.5,265.8,2118.1,128,length,200,
0.5,240.4,2091.6,128,length,200,
0.5,218.6,2063.6,128,length,200,
0.5,239.8,2091.6,128,length,200,
0.5,219.2,2064.1,128,length,200,
0.5,240.4,2091.0,128,length,200,
1.0,147.7,1955.7,128,length,200,
1.0,333.8,2198.8,128,length,200,
1.0,389.3,2260.2,128,length,200,
1.0,218.7,2063.6,128,length,200,
1.0,218.0,2063.0,128,length,200,
1.0,218.0,2062.3,128,length,200,
1.0,93.9,1854.8,128,length,200,
1.0,239.3,2091.0,128,length,200,
1.0,239.9,2091.6,128,length,200,
1.0,93.9,1855.4,128,length,200,
1.0,263.9,2116.5,128,length,200,
1.0,263.9,2116.5,128,length,200,
1.0,201.2,2038.3,128,length,200,
1.0,201.2,2037.7,128,length,200,
1.0,201.2,2037.7,128,length,200,
1.0,265.6,2118.6,128,length,200,
1.0,265.6,2118.6,128,length,200,
1.0,201.2,2037.2,128,length,200,
1.0,93.9,1856.0,128,length,200,
1.0,93.9,1856.0,128,length,200,
1.0,200.6,2036.7,128,length,200,
1.0,388.3,2258.0,128,length,200,
1.0,181.5,2009.8,128,length,200,
1.0,289.9,2144.7,128,length,200,
1.0,165.6,1981.9,128,length,200,
1.0,387.8,2258.0,128,length,200,
1.0,165.6,1981.9,128,length,200,
1.0,165.6,1980.5,128,length,200,
1.0,309.2,2171.9,128,length,200,
1.0,388.3,2257.5,128,length,200,
1.0,309.7,2172.7,128,length,200,
1.0,309.7,2172.7,128,length,200,
1.0,147.7,1955.7,128,length,200,
1.0,109.9,1873.6,128,length,200,
1.0,239.9,2090.0,128,length,200,
1.0,333.8,2198.8,128,length,200,
1.0,147.7,1955.1,128,length,200,
1.0,387.8,2257.5,128,length,200,
1.0,333.8,2199.4,128,length,200,
1.0,335.2,2200.4,128,length,200,
1.0,335.2,2201.0,128,length,200,
1.0,132.1,1926.4,128,length,200,
1.0,132.1,1926.9,128,length,200,
1.0,363.7,2231.5,128,length,200,
1.0,362.5,2230.3,128,length,200,
1.0,147.7,1954.6,128,length,200,
1.0,362.5,2230.3,128,length,200,
1.0,362.5,2231.0,128,length,200,
1.0,362.5,2231.0,128,length,200,
1.0,364.3,2231.5,128,length,200,
1.0,362.5,2231.5,128,length,200,
1.0,147.7,1953.9,128,length,200,
1.6,239.4,2091.0,128,length,200,
1.6,181.4,2010.4,128,length,200,
1.6,132.5,1925.9,128,length,200,
1.6,147.2,1954.6,128,length,200,
1.6,334.7,2200.4,128,length,200,
1.6,333.3,2198.9,128,length,200,
1.6,239.4,2090.0,128,length,200,
1.6,309.2,2173.0,128,length,200,
