utilization.gpu [%], clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu
0 %, 210 MHz, 3105 MHz, 52
24 %, 255 MHz, 3105 MHz, 52
0 %, 375 MHz, 3105 MHz, 52
0 %, 2370 MHz, 3105 MHz, 53
0 %, 2370 MHz, 3105 MHz, 53
83 %, 2580 MHz, 3105 MHz, 57
84 %, 2580 MHz, 3105 MHz, 58
82 %, 2580 MHz, 3105 MHz, 58
82 %, 2580 MHz, 3105 MHz, 59
76 %, 2580 MHz, 3105 MHz, 59
83 %, 2580 MHz, 3105 MHz, 59
1 %, 2580 MHz, 3105 MHz, 56
4 %, 630 MHz, 3105 MHz, 54
6 %, 405 MHz, 3105 MHz, 54
1 %, 2370 MHz, 3105 MHz, 55
9 %, 2370 MHz, 3105 MHz, 55
0 %, 660 MHz, 3105 MHz, 54
10 %, 600 MHz, 3105 MHz, 53
2 %, 600 MHz, 3105 MHz, 53
0 %, 270 MHz, 3105 MHz, 53
0 %, 210 MHz, 3105 MHz, 53
8 %, 210 MHz, 3105 MHz, 53
0 %, 210 MHz, 3105 MHz, 53
