start_offset_ms,ttft_ms,latency_ms,generated_tokens,finish_reason,status,error
0.0,38.9,1219.6,128,length,200,
0.0,77.3,1252.4,128,length,200,
0.0,77.3,1252.9,128,length,200,
0.0,89.6,1262.9,128,length,200,
0.0,89.6,1262.9,128,length,200,
0.0,89.6,1262.9,128,length,200,
0.0,89.6,1263.4,128,length,200,
0.0,89.6,1263.4,128,length,200,
0.0,89.6,1263.9,128,length,200,
0.0,103.0,1279.8,128,length,200,
0.0,103.0,1280.8,128,length,200,
0.0,103.0,1280.8,128,length,200,
0.0,103.0,1280.8,128,length,200,
0.0,103.0,1280.8,128,length,200,
0.0,103.0,1280.8,128,length,200,
0.0,103.0,1280.8,128,length,200,
0.0,103.0,1280.8,128,length,200,
0.0,103.0,1280.8,128,length,200,
0.0,103.0,1280.8,128,length,200,
0.0,114.0,1293.8,128,length,200,
0.0,114.0,1293.8,128,length,200,
0.0,114.6,1293.8,128,length,200,
0.0,114.6,1293.8,128,length,200,
0.0,114.6,1293.8,128,length,200,
0.0,114.6,1294.5,128,length,200,
0.0,114.6,1294.5,128,length,200,
0.0,114.6,1294.5,128,length,200,
0.0,114.6,1294.5,128,length,200,
0.0,114.6,1294.5,128,length,200,
0.0,114.0,1294.5,128,length,200,
0.0,114.0,1295.1,128,length,200,
0.0,114.6,1295.1,128,length,200,
1219.6,33.3,1164.2,128,length,200,
1252.4,41.4,1165.1,128,length,200,
1252.9,40.9,1163.5,128,length,200,
1262.9,44.1,1161.7,128,length,200,
1262.9,44.1,1162.3,128,length,200,
1262.9,44.1,1163.4,128,length,200,
1263.4,43.6,1161.8,128,length,200,
1263.4,43.6,1162.9,128,length,200,
1263.9,43.1,1161.3,128,length,200,
1279.8,75.5,1203.6,128,length,200,
1280.8,75.0,1201.8,128,length,200,
1280.8,75.0,1202.6,128,length,200,
1280.8,63.3,1190.9,128,length,200,
1280.8,63.3,1190.9,128,length,200,
1280.8,74.5,1201.8,128,length,200,
1280.8,29.3,1157.1,128,length,200,
1280.8,75.0,1202.6,128,length,200,
1280.8,29.3,1157.1,128,length,200,
1280.8,75.0,1202.6,128,length,200,
1293.8,62.0,1189.6,128,length,200,
1293.8,62.0,1189.6,128,length,200,
1293.8,62.0,1189.6,128,length,200,
1293.8,62.0,1189.6,128,length,200,
1293.8,62.0,1189.6,128,length,200,
1294.5,60.7,1188.1,128,length,200,
1294.5,61.3,1188.8,128,length,200,
1294.5,61.3,1188.8,128,length,200,
1294.5,61.3,1188.8,128,length,200,
1294.5,60.7,1188.1,128,length,200,
1295.1,60.7,1188.3,128,length,200,
1295.1,60.7,1188.3,128,length,200,
1295.1,60.7,1188.3,128,length,200,
2383.8,33.1,1195.7,128,length,200,
2416.4,33.3,1194.8,128,length,200,
2417.5,46.8,1204.2,128,length,200,
2424.6,38.7,1197.1,128,length,200,
2425.2,38.1,1196.5,128,length,200,
2425.2,45.8,1211.8,128,length,200,
2425.2,46.4,1211.8,128,length,200,
2426.3,45.3,1210.7,128,length,200,
2426.3,45.3,1210.7,128,length,200,
2437.9,33.7,1199.1,128,length,200,
2437.9,33.1,1199.1,128,length,200,
2471.7,34.5,1202.8,128,length,200,
2471.7,34.5,1202.8,128,length,200,
2482.6,39.5,1200.3,128,length,200,
2482.6,61.5,1229.0,128,length,200,
2482.6,61.5,1229.0,128,length,200,
2483.4,60.7,1228.3,128,length,200,
2483.4,60.7,1226.3,128,length,200,
2483.4,60.7,1226.3,128,length,200,
2483.4,60.7,1226.3,128,length,200,
2483.4,60.7,1226.3,128,length,200,
2483.4,60.7,1228.3,128,length,200,
2483.4,60.7,1228.3,128,length,200,
2483.4,61.4,1228.3,128,length,200,
2483.4,60.7,1228.3,128,length,200,
2483.4,60.7,1228.3,128,length,200,
2483.4,60.7,1228.3,128,length,200,
2483.4,60.7,1228.3,128,length,200,
2483.4,61.4,1228.3,128,length,200,
2483.4,60.7,1226.3,128,length,200,
2483.4,61.4,1228.3,128,length,200,
2483.4,46.7,1212.9,128,length,200,
3579.5,33.1,1194.5,128,length,200,
3611.2,37.3,1189.2,128,length,200,
3621.7,37.7,1187.3,128,length,200,
3621.7,37.7,1187.3,128,length,200,
3621.7,37.7,1187.3,128,length,200,
3637.0,37.4,1182.4,128,length,200,
3637.0,37.4,1182.4,128,length,200,
3637.0,37.4,1181.9,128,length,200,
3637.0,46.7,1190.1,128,length,200,
3637.0,46.7,1190.6,128,length,200,
3637.0,46.7,1190.6,128,length,200,
3674.4,37.2,1173.0,128,length,200,
3674.4,37.2,1173.0,128,length,200,
3682.9,41.4,1167.7,128,length,200,
3696.2,40.5,1168.7,128,length,200,
3709.7,55.2,1181.4,128,length,200,
3709.7,31.9,1165.1,128,length,200,
3709.7,31.9,1165.1,128,length,200,
3709.7,55.2,1183.1,128,length,200,
3709.7,55.2,1181.4,128,length,200,
3711.6,53.3,1179.4,128,length,200,
3711.6,53.3,1179.4,128,length,200,
3711.6,53.3,1181.1,128,length,200,
3711.6,53.3,1179.4,128,length,200,
3711.6,60.3,1187.1,128,length,200,
3711.6,60.3,1187.1,128,length,200,
3711.6,60.3,1187.7,128,length,200,
3711.6,60.3,1187.7,128,length,200,
3711.6,60.3,1187.7,128,length,200,
3711.6,60.3,1187.7,128,length,200,
3711.6,60.3,1187.7,128,length,200,
3711.6,60.3,1187.7,128,length,200,
