utilization.gpu [%], clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu
0 %, 210 MHz, 3105 MHz, 51
0 %, 210 MHz, 3105 MHz, 51
4 %, 2370 MHz, 3105 MHz, 53
0 %, 2370 MHz, 3105 MHz, 53
0 %, 510 MHz, 3105 MHz, 52
88 %, 2370 MHz, 3105 MHz, 55
70 %, 2580 MHz, 3105 MHz, 58
84 %, 2580 MHz, 3105 MHz, 59
85 %, 2580 MHz, 3105 MHz, 59
77 %, 2580 MHz, 3105 MHz, 59
85 %, 2580 MHz, 3105 MHz, 60
85 %, 2580 MHz, 3105 MHz, 60
0 %, 2580 MHz, 3105 MHz, 56
5 %, 2580 MHz, 3105 MHz, 56
0 %, 660 MHz, 3105 MHz, 55
8 %, 420 MHz, 3105 MHz, 54
30 %, 300 MHz, 3105 MHz, 54
5 %, 240 MHz, 3105 MHz, 54
