utilization.gpu [%], clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu
0 %, 390 MHz, 3105 MHz, 52
0 %, 270 MHz, 3105 MHz, 52
20 %, 345 MHz, 3105 MHz, 52
9 %, 345 MHz, 3105 MHz, 52
0 %, 375 MHz, 3105 MHz, 52
0 %, 375 MHz, 3105 MHz, 52
84 %, 2580 MHz, 3105 MHz, 57
86 %, 2580 MHz, 3105 MHz, 57
84 %, 2580 MHz, 3105 MHz, 58
83 %, 2580 MHz, 3105 MHz, 58
84 %, 2580 MHz, 3105 MHz, 58
83 %, 2580 MHz, 3105 MHz, 58
85 %, 2580 MHz, 3105 MHz, 59
82 %, 2580 MHz, 3105 MHz, 59
85 %, 2580 MHz, 3105 MHz, 59
85 %, 2580 MHz, 3105 MHz, 59
83 %, 2580 MHz, 3105 MHz, 60
85 %, 2580 MHz, 3105 MHz, 60
84 %, 2580 MHz, 3105 MHz, 60
1 %, 2580 MHz, 3105 MHz, 57
1 %, 2580 MHz, 3105 MHz, 57
5 %, 525 MHz, 3105 MHz, 55
6 %, 345 MHz, 3105 MHz, 55
