start_offset_ms,ttft_ms,latency_ms,generated_tokens,finish_reason,status,error
0.0,324.4,1311.8,128,length,200,
0.0,366.4,1318.3,128,length,200,
0.0,366.4,1318.3,128,length,200,
0.0,366.4,1318.3,128,length,200,
1311.8,23.8,978.5,128,length,200,
1318.3,22.8,978.0,128,length,200,
1318.3,22.8,978.0,128,length,200,
1318.3,22.8,978.0,128,length,200,
2290.3,28.3,995.1,128,length,200,
2296.3,30.1,997.1,128,length,200,
2296.3,30.1,997.1,128,length,200,
2296.3,35.2,1008.9,128,length,200,
3285.4,30.1,999.1,128,length,200,
3293.4,29.6,999.3,128,length,200,
3293.4,29.6,999.3,128,length,200,
3305.2,22.7,1002.1,128,length,200,
4284.6,34.1,1035.7,128,length,200,
4292.6,36.8,1035.0,128,length,200,
4292.6,36.8,1035.0,128,length,200,
4307.3,27.9,1034.3,128,length,200,
5320.3,30.6,1014.9,128,length,200,
5327.6,32.8,1015.0,128,length,200,
5327.6,32.8,1015.0,128,length,200,
5341.6,25.1,1013.3,128,length,200,
6335.2,31.0,997.9,128,length,200,
6342.6,33.2,998.5,128,length,200,
6342.6,33.2,998.5,128,length,200,
6354.9,27.1,1004.9,128,length,200,
7333.1,42.1,1050.1,128,length,200,
7341.1,45.6,1049.5,128,length,200,
7341.1,45.6,1049.5,128,length,200,
7359.9,28.7,1043.5,128,length,200,
8383.2,29.2,971.1,128,length,200,
8390.7,31.3,970.6,128,length,200,
8390.7,31.3,970.6,128,length,200,
8403.4,23.0,970.0,128,length,200,
9354.3,27.7,976.9,128,length,200,
9361.2,31.6,977.9,128,length,200,
9361.2,31.6,977.9,128,length,200,
9373.4,25.0,978.0,128,length,200,
10331.3,28.8,987.9,128,length,200,
10339.2,30.1,987.6,128,length,200,
10339.2,30.1,987.6,128,length,200,
10351.4,22.2,987.5,128,length,200,
11319.1,29.1,967.3,128,length,200,
11326.7,30.2,967.4,128,length,200,
11326.7,30.2,967.4,128,length,200,
11338.9,23.1,967.2,128,length,200,
12286.4,27.8,948.0,128,length,200,
12294.2,25.6,946.4,128,length,200,
