start_offset_ms,ttft_ms,latency_ms,generated_tokens,finish_reason,status,error
0.0,208.5,1296.6,128,length,200,
0.0,371.2,1299.2,128,length,200,
1296.6,23.1,971.1,128,length,200,
1299.2,23.8,974.8,128,length,200,
2267.7,28.7,997.0,128,length,200,
2274.0,27.9,997.5,128,length,200,
3264.8,23.9,1020.8,128,length,200,
3271.5,26.6,1021.3,128,length,200,
4285.6,25.2,988.7,128,length,200,
4292.8,24.2,987.5,128,length,200,
5274.4,25.1,982.7,128,length,200,
5280.3,23.6,982.8,128,length,200,
6257.1,25.9,965.5,128,length,200,
6263.1,25.1,965.0,128,length,200,
7222.5,25.3,955.7,128,length,200,
7228.0,25.1,953.4,128,length,200,
8178.3,26.3,997.4,128,length,200,
8181.5,27.2,998.4,128,length,200,
9175.7,22.9,992.6,128,length,200,
9179.9,23.5,994.6,128,length,200,
10168.3,24.5,978.3,128,length,200,
10174.5,22.1,978.9,128,length,200,
11146.6,24.3,971.4,128,length,200,
11153.4,23.8,969.7,128,length,200,
12118.0,23.0,951.4,128,length,200,
12123.5,22.7,951.7,128,length,200,
13069.4,24.1,949.6,128,length,200,
13075.2,22.0,946.2,128,length,200,
14019.0,25.3,952.3,128,length,200,
14021.4,25.7,955.5,128,length,200,
14971.3,28.1,976.9,128,length,200,
14976.9,28.9,977.4,128,length,200,
15948.2,23.9,963.4,128,length,200,
15954.2,22.4,962.4,128,length,200,
16911.7,33.8,978.1,128,length,200,
16916.7,33.0,978.5,128,length,200,
17889.8,23.6,963.8,128,length,200,
17895.2,22.7,962.8,128,length,200,
18853.6,23.3,953.3,128,length,200,
18858.0,21.9,955.5,128,length,200,
19806.9,26.9,973.6,128,length,200,
19813.6,23.5,972.0,128,length,200,
20780.5,23.4,951.5,128,length,200,
20785.6,21.0,951.3,128,length,200,
21732.0,24.4,977.3,128,length,200,
21736.9,25.2,978.1,128,length,200,
22709.3,25.6,980.7,128,length,200,
22715.0,24.6,982.2,128,length,200,
23690.1,24.6,975.2,128,length,200,
23697.2,22.5,974.0,128,length,200,
