start_offset_ms,ttft_ms,latency_ms,generated_tokens,finish_reason,status,error
0.0,312.5,1355.0,128,length,200,
1355.0,24.0,998.9,128,length,200,
2353.9,16.3,987.5,128,length,200,
3341.4,15.3,988.1,128,length,200,
4329.5,15.6,971.0,128,length,200,
5300.5,17.3,965.7,128,length,200,
6266.2,16.1,970.6,128,length,200,
7236.7,16.1,968.6,128,length,200,
8205.3,15.5,978.3,128,length,200,
9183.7,16.1,965.3,128,length,200,
10148.9,14.8,974.6,128,length,200,
11123.5,16.0,1014.6,128,length,200,
12138.1,15.9,975.4,128,length,200,
13113.5,15.2,968.5,128,length,200,
14082.1,15.8,968.2,128,length,200,
15050.3,15.7,1001.5,128,length,200,
16051.8,16.8,970.6,128,length,200,
17022.4,16.2,987.3,128,length,200,
18009.7,15.3,990.9,128,length,200,
19000.7,15.0,966.9,128,length,200,
19967.6,19.8,1016.5,128,length,200,
20984.1,16.3,990.0,128,length,200,
21974.1,17.4,978.1,128,length,200,
22952.2,16.0,1000.5,128,length,200,
23952.6,16.7,1035.8,128,length,200,
24988.8,15.8,985.7,128,length,200,
25974.5,17.0,984.5,128,length,200,
26959.0,16.9,972.6,128,length,200,
27931.6,16.0,979.3,128,length,200,
28911.0,15.7,974.8,128,length,200,
29885.8,16.9,978.3,128,length,200,
30864.1,15.5,966.0,128,length,200,
31830.1,15.4,975.1,128,length,200,
32805.2,18.1,983.8,128,length,200,
33789.0,17.3,983.2,128,length,200,
34772.2,16.3,981.0,128,length,200,
35753.2,16.3,974.7,128,length,200,
36727.9,16.9,975.5,128,length,200,
37703.4,15.8,978.2,128,length,200,
38681.6,22.1,994.7,128,length,200,
39676.3,17.6,1012.5,128,length,200,
40688.9,16.1,1009.7,128,length,200,
41698.5,17.0,1006.5,128,length,200,
42705.0,16.3,1004.6,128,length,200,
43709.7,20.5,986.0,128,length,200,
44695.7,15.9,979.3,128,length,200,
45674.9,16.5,1033.4,128,length,200,
46708.4,17.0,1031.0,128,length,200,
47739.3,16.4,979.3,128,length,200,
48718.6,18.1,996.9,128,length,200,
