utilization.gpu [%], clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu
11 %, 210 MHz, 3105 MHz, 52
7 %, 210 MHz, 3105 MHz, 52
2 %, 210 MHz, 3105 MHz, 52
11 %, 285 MHz, 3105 MHz, 52
0 %, 300 MHz, 3105 MHz, 52
2 %, 210 MHz, 3105 MHz, 52
0 %, 210 MHz, 3105 MHz, 52
0 %, 210 MHz, 3105 MHz, 52
6 %, 210 MHz, 3105 MHz, 52
7 %, 225 MHz, 3105 MHz, 52
0 %, 225 MHz, 3105 MHz, 52
6 %, 210 MHz, 3105 MHz, 52
0 %, 210 MHz, 3105 MHz, 52
4 %, 210 MHz, 3105 MHz, 52
59 %, 210 MHz, 3105 MHz, 52
10 %, 375 MHz, 3105 MHz, 52
17 %, 315 MHz, 3105 MHz, 52
0 %, 240 MHz, 3105 MHz, 52
87 %, 210 MHz, 3105 MHz, 52
0 %, 255 MHz, 3105 MHz, 52
0 %, 210 MHz, 3105 MHz, 52
0 %, 330 MHz, 3105 MHz, 52
0 %, 330 MHz, 3105 MHz, 52
11 %, 315 MHz, 3105 MHz, 52
0 %, 315 MHz, 3105 MHz, 52
25 %, 510 MHz, 3105 MHz, 52
0 %, 510 MHz, 3105 MHz, 52
0 %, 210 MHz, 3105 MHz, 52
4 %, 210 MHz, 3105 MHz, 52
12 %, 210 MHz, 3105 MHz, 52
0 %, 210 MHz, 3105 MHz, 52
12 %, 210 MHz, 3105 MHz, 52
83 %, 2580 MHz, 3105 MHz, 57
82 %, 2580 MHz, 3105 MHz, 58
83 %, 2580 MHz, 3105 MHz, 58
80 %, 2580 MHz, 3105 MHz, 58
81 %, 2580 MHz, 3105 MHz, 59
83 %, 2580 MHz, 3105 MHz, 59
83 %, 2580 MHz, 3105 MHz, 60
82 %, 2580 MHz, 3105 MHz, 60
84 %, 2580 MHz, 3105 MHz, 60
83 %, 2580 MHz, 3105 MHz, 60
84 %, 2580 MHz, 3105 MHz, 61
82 %, 2580 MHz, 3105 MHz, 61
83 %, 2580 MHz, 3105 MHz, 61
82 %, 2580 MHz, 3105 MHz, 61
82 %, 2580 MHz, 3105 MHz, 61
84 %, 2580 MHz, 3105 MHz, 62
80 %, 2580 MHz, 3105 MHz, 62
82 %, 2580 MHz, 3105 MHz, 62
83 %, 2580 MHz, 3105 MHz, 62
79 %, 2580 MHz, 3105 MHz, 62
84 %, 2580 MHz, 3105 MHz, 63
81 %, 2580 MHz, 3105 MHz, 63
82 %, 2580 MHz, 3105 MHz, 63
81 %, 2580 MHz, 3105 MHz, 63
82 %, 2565 MHz, 3105 MHz, 63
82 %, 2565 MHz, 3105 MHz, 63
81 %, 2565 MHz, 3105 MHz, 63
82 %, 2565 MHz, 3105 MHz, 64
83 %, 2565 MHz, 3105 MHz, 64
83 %, 2565 MHz, 3105 MHz, 64
84 %, 2565 MHz, 3105 MHz, 64
81 %, 2565 MHz, 3105 MHz, 64
80 %, 2565 MHz, 3105 MHz, 65
82 %, 2565 MHz, 3105 MHz, 65
81 %, 2565 MHz, 3105 MHz, 65
82 %, 2565 MHz, 3105 MHz, 65
81 %, 2565 MHz, 3105 MHz, 65
82 %, 2565 MHz, 3105 MHz, 65
83 %, 2565 MHz, 3105 MHz, 65
81 %, 2565 MHz, 3105 MHz, 65
86 %, 2565 MHz, 3105 MHz, 66
78 %, 2565 MHz, 3105 MHz, 65
82 %, 2565 MHz, 3105 MHz, 65
83 %, 2565 MHz, 3105 MHz, 66
83 %, 2565 MHz, 3105 MHz, 66
82 %, 2565 MHz, 3105 MHz, 66
76 %, 2565 MHz, 3105 MHz, 66
83 %, 2565 MHz, 3105 MHz, 66
82 %, 2565 MHz, 3105 MHz, 66
0 %, 2565 MHz, 3105 MHz, 63
0 %, 2565 MHz, 3105 MHz, 62
7 %, 465 MHz, 3105 MHz, 61
18 %, 345 MHz, 3105 MHz, 60
5 %, 240 MHz, 3105 MHz, 60
16 %, 210 MHz, 3105 MHz, 59
0 %, 210 MHz, 3105 MHz, 59
52 %, 255 MHz, 3105 MHz, 59
0 %, 2370 MHz, 3105 MHz, 60
0 %, 2370 MHz, 3105 MHz, 60
7 %, 2370 MHz, 3105 MHz, 60
0 %, 600 MHz, 3105 MHz, 59
0 %, 480 MHz, 3105 MHz, 58
0 %, 345 MHz, 3105 MHz, 58
