utilization.gpu [%], clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu
0 %, 210 MHz, 3105 MHz, 52
11 %, 210 MHz, 3105 MHz, 52
10 %, 210 MHz, 3105 MHz, 52
0 %, 255 MHz, 3105 MHz, 52
0 %, 255 MHz, 3105 MHz, 52
97 %, 210 MHz, 3105 MHz, 52
86 %, 2580 MHz, 3105 MHz, 57
77 %, 2580 MHz, 3105 MHz, 57
81 %, 2580 MHz, 3105 MHz, 57
84 %, 2580 MHz, 3105 MHz, 57
81 %, 2580 MHz, 3105 MHz, 58
77 %, 2580 MHz, 3105 MHz, 58
80 %, 2580 MHz, 3105 MHz, 58
79 %, 2580 MHz, 3105 MHz, 59
79 %, 2580 MHz, 3105 MHz, 59
79 %, 2580 MHz, 3105 MHz, 59
77 %, 2580 MHz, 3105 MHz, 59
86 %, 2580 MHz, 3105 MHz, 59
85 %, 2580 MHz, 3105 MHz, 60
85 %, 2580 MHz, 3105 MHz, 60
81 %, 2580 MHz, 3105 MHz, 60
84 %, 2580 MHz, 3105 MHz, 60
85 %, 2580 MHz, 3105 MHz, 60
84 %, 2580 MHz, 3105 MHz, 61
85 %, 2580 MHz, 3105 MHz, 61
78 %, 2580 MHz, 3105 MHz, 61
86 %, 2580 MHz, 3105 MHz, 61
84 %, 2580 MHz, 3105 MHz, 61
84 %, 2580 MHz, 3105 MHz, 61
84 %, 2580 MHz, 3105 MHz, 61
0 %, 2580 MHz, 3105 MHz, 59
0 %, 2580 MHz, 3105 MHz, 59
0 %, 480 MHz, 3105 MHz, 57
0 %, 300 MHz, 3105 MHz, 57
0 %, 210 MHz, 3105 MHz, 57
8 %, 210 MHz, 3105 MHz, 56
0 %, 210 MHz, 3105 MHz, 56
0 %, 210 MHz, 3105 MHz, 56
