utilization.gpu [%], clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu
12 %, 210 MHz, 3105 MHz, 52
7 %, 210 MHz, 3105 MHz, 51
1 %, 495 MHz, 3105 MHz, 51
0 %, 495 MHz, 3105 MHz, 51
0 %, 525 MHz, 3105 MHz, 51
0 %, 525 MHz, 3105 MHz, 51
0 %, 240 MHz, 3105 MHz, 51
84 %, 2580 MHz, 3105 MHz, 55
84 %, 2580 MHz, 3105 MHz, 57
82 %, 2580 MHz, 3105 MHz, 57
79 %, 2580 MHz, 3105 MHz, 57
3 %, 2580 MHz, 3105 MHz, 55
0 %, 2580 MHz, 3105 MHz, 55
0 %, 645 MHz, 3105 MHz, 53
0 %, 420 MHz, 3105 MHz, 53
0 %, 300 MHz, 3105 MHz, 53
0 %, 210 MHz, 3105 MHz, 53
76 %, 315 MHz, 3105 MHz, 53
5 %, 2370 MHz, 3105 MHz, 54
0 %, 735 MHz, 3105 MHz, 54
